Date,Adj Close
13/04/2020,8192.419922
14/04/2020,8515.740234
15/04/2020,8393.179688
16/04/2020,8532.360352
17/04/2020,8650.139648
20/04/2020,8560.730469
21/04/2020,8263.230469
22/04/2020,8495.379883
23/04/2020,8494.75
24/04/2020,8634.519531
27/04/2020,8730.160156
28/04/2020,8607.730469
29/04/2020,8914.709961
30/04/2020,8889.549805
01/05/2020,8604.950195
04/05/2020,8710.709961
05/05/2020,8809.120117
06/05/2020,8854.389648
07/05/2020,8979.660156
08/05/2020,9121.320313
11/05/2020,9192.339844
12/05/2020,9002.549805
13/05/2020,8863.169922
14/05/2020,8943.719727
15/05/2020,9014.55957
18/05/2020,9234.830078
19/05/2020,9185.099609
20/05/2020,9375.780273
21/05/2020,9284.879883
22/05/2020,9324.589844
26/05/2020,9340.219727
27/05/2020,9412.360352
28/05/2020,9368.990234
29/05/2020,9489.870117
01/06/2020,9552.049805
02/06/2020,9608.379883
03/06/2020,9682.910156
04/06/2020,9615.80957
05/06/2020,9814.080078
08/06/2020,9924.75
09/06/2020,9953.75
10/06/2020,10020.34961
11/06/2020,9492.730469
12/06/2020,9588.80957
15/06/2020,9726.019531
16/06/2020,9895.870117
17/06/2020,9910.530273
18/06/2020,9943.049805
19/06/2020,9946.120117
22/06/2020,10056.48047
23/06/2020,10131.37012
24/06/2020,9909.169922
25/06/2020,10017
26/06/2020,9757.219727
29/06/2020,9874.150391
30/06/2020,10058.76953
01/07/2020,10154.62988
02/07/2020,10207.62988
06/07/2020,10433.65039
07/07/2020,10343.88965
08/07/2020,10492.5
09/07/2020,10547.75
10/07/2020,10617.44043
13/07/2020,10390.83984
14/07/2020,10488.58008
15/07/2020,10550.49023
16/07/2020,10473.83008
17/07/2020,10503.19043
20/07/2020,10767.08984
21/07/2020,10680.36035
22/07/2020,10706.12988
23/07/2020,10461.41992
24/07/2020,10363.17969
27/07/2020,10536.26953
28/07/2020,10402.08984
29/07/2020,10542.94043
30/07/2020,10587.80957
31/07/2020,10745.26953
03/08/2020,10902.79981
04/08/2020,10941.16992
05/08/2020,10998.40039
06/08/2020,11108.07031
07/08/2020,11010.98047
10/08/2020,10968.36035
11/08/2020,10782.82031
